sample	locus	read_count	molecule_count
T21-0-1_S1_R1_001	chr21_42219346	1878	232
T21-0-1_S1_R1_001	chr21_42254610	1495	224
T21-0-1_S1_R1_001	chr21_42344471	1789	222
T21-0-1_S1_R1_001	chr21_42360636	1438	178
T21-0-1_S1_R1_001	chr21_42658507	1902	253
T21-0-1_S1_R1_001	chr21_43273281	2002	244
T21-0-1_S1_R1_001	chr21_43303475	1704	247
T21-0-1_S1_R1_001	chr21_43319469	2365	289
T21-0-1_S1_R1_001	chr21_43770202	1706	219
T21-0-1_S1_R1_001	chr21_43812691	1272	184
T21-0-1_S1_R1_001	chr21_43856906	1587	206
T21-0-1_S1_R1_001	chr21_43957875	1783	228
T21-0-1_S1_R1_001	chr21_43982821	1258	251
T21-0-1_S1_R1_001	chr21_44326763	1651	218
T21-0-1_S1_R1_001	chr21_44504844	1676	202
T21-0-1_S1_R1_001	chr21_44527351	1463	172
T21-0-1_S1_R1_001	chr21_44664502	1065	128
T21-0-1_S1_R1_001	chr21_44708346	1819	222
T21-0-1_S1_R1_001	chr21_44711236	1627	211
T21-0-1_S1_R1_001	chr21_44771421	1598	197
T21-0-1_S1_R1_001	chr21_44855283	1497	177
T21-0-1_S1_R1_001	chr21_45027814	1221	138
T21-0-1_S1_R1_001	chr21_45056373	1506	200
T21-0-1_S1_R1_001	chr2_145245523	1594	182
T21-0-1_S1_R1_001	chr21_45254594	690	84
T21-0-1_S1_R1_001	chr21_45282802	2000	279
T21-0-1_S1_R1_001	chr21_45828339	1196	156
T21-0-1_S1_R1_001	chr21_45982832	1772	223
T21-0-1_S1_R1_001	chr21_46125933	1503	212
T21-0-1_S1_R1_001	chr21_46126070	112	16
T21-0-1_S1_R1_001	chr21_46370078	1748	204
T21-0-1_S1_R1_001	chr21_46377989	1236	195
T21-0-1_S1_R1_001	chr21_46415136	1370	149
T21-0-1_S1_R1_001	chr21_46667540	1592	213
T21-0-1_S1_R1_001	chr2_152334950	1328	160
T21-0-1_S1_R1_001	chr2_15474108	1235	199
T21-0-1_S1_R1_001	chr2_158212563	1486	179
T21-0-1_S1_R1_001	chr2_163017782	1529	200
T21-0-1_S1_R1_001	chr2_167231349	1020	112
T21-0-1_S1_R1_001	chr2_17124032	1644	194
T21-0-1_S1_R1_001	chr2_176099389	1280	190
T21-0-1_S1_R1_001	chr2_177249947	1275	150
T21-0-1_S1_R1_001	chr2_178250714	1374	161
T21-0-1_S1_R1_001	chr2_17931415	1283	150
T21-0-1_S1_R1_001	chr2_190246811	1698	185
T21-0-1_S1_R1_001	chr2_190952120	739	93
T21-0-1_S1_R1_001	chr2_19240391	1458	180
T21-0-1_S1_R1_001	chr2_197051977	1423	161
T21-0-1_S1_R1_001	chr2_198064874	1198	137
T21-0-1_S1_R1_001	chr2_199463719	1682	223
T21-0-1_S1_R1_001	chr2_202868115	968	131
T21-0-1_S1_R1_001	chr2_20646683	1646	200
T21-0-1_S1_R1_001	chr2_21608302	1401	190
T21-0-1_S1_R1_001	chr2_216848171	1434	191
T21-0-1_S1_R1_001	chr2_218819411	1089	132
T21-0-1_S1_R1_001	chr2_223957413	2321	296
T21-0-1_S1_R1_001	chr2_225082160	1344	149
T21-0-1_S1_R1_001	chr2_227759997	1732	232
T21-0-1_S1_R1_001	chr2_230722965	1074	137
T21-0-1_S1_R1_001	chr2_232372794	115	14
T21-0-1_S1_R1_001	chr2_233308485	1238	132
T21-0-1_S1_R1_001	chr2_23401307	1495	243
T21-0-1_S1_R1_001	chr2_235577831	1284	143
T21-0-1_S1_R1_001	chr2_237660339	1375	158
T21-0-1_S1_R1_001	chr2_238789650	1174	149
T21-0-1_S1_R1_001	chr2_239581665	1756	234
T21-0-1_S1_R1_001	chr2_240800370	1804	239
T21-0-1_S1_R1_001	chr2_24425782	1455	212
T21-0-1_S1_R1_001	chr2_24739837	1699	187
T21-0-1_S1_R1_001	chr2_2795811	878	127
T21-0-1_S1_R1_001	chr2_30766193	2115	280
T21-0-1_S1_R1_001	chr2_31198935	1415	182
T21-0-1_S1_R1_001	chr2_3323538	1750	214
T21-0-1_S1_R1_001	chr2_39665236	822	102
T21-0-1_S1_R1_001	chr2_42844903	1550	187
T21-0-1_S1_R1_001	chr2_46512548	1504	188
T21-0-1_S1_R1_001	chr2_47653669	1168	150
T21-0-1_S1_R1_001	chr2_59344696	1698	221
T21-0-1_S1_R1_001	chr2_68077544	1762	207
T21-0-1_S1_R1_001	chr2_70411829	1759	224
T21-0-1_S1_R1_001	chr2_71830719	1307	158
T21-0-1_S1_R1_001	chr2_78404591	1551	172
T21-0-1_S1_R1_001	chr2_82461489	1528	179
T21-0-1_S1_R1_001	chr2_88350766	1656	210
T21-0-1_S1_R1_001	chr2_94878207	2044	230
T21-0-1_S1_R1_001	chr2_96661714	1539	173
T21-0-1_S1_R1_001	chr3_10115503	1299	166
T21-0-1_S1_R1_001	chr3_102471124	2006	231
T21-0-1_S1_R1_001	chr3_108590104	1608	194
T21-0-1_S1_R1_001	chr3_115933119	1568	199
T21-0-1_S1_R1_001	chr3_11643325	1878	264
T21-0-1_S1_R1_001	chr3_123028610	1498	192
T21-0-1_S1_R1_001	chr3_126158628	1803	214
T21-0-1_S1_R1_001	chr3_128496786	1849	228
T21-0-1_S1_R1_001	chr3_129975369	1740	253
T21-0-1_S1_R1_001	chr3_13021664	1820	204
T21-0-1_S1_R1_001	chr3_132904228	1804	208
T21-0-1_S1_R1_001	chr3_135013488	1721	203
T21-0-1_S1_R1_001	chr3_138920203	1743	194
T21-0-1_S1_R1_001	chr3_139536560	1931	219
T21-0-1_S1_R1_001	chr3_141077108	1678	236
T21-0-1_S1_R1_001	chr3_142579019	1596	198
T21-0-1_S1_R1_001	chr3_14401969	1211	149
T21-0-1_S1_R1_001	chr3_14729485	1455	186
T21-0-1_S1_R1_001	chr3_147405373	1396	194
T21-0-1_S1_R1_001	chr3_150409527	1839	249
T21-0-1_S1_R1_001	chr3_15332827	1256	150
T21-0-1_S1_R1_001	chr3_155744602	1657	215
T21-0-1_S1_R1_001	chr3_158103833	1338	158
T21-0-1_S1_R1_001	chr3_16878779	1563	191
T21-0-1_S1_R1_001	chr3_169661783	1234	146
T21-0-1_S1_R1_001	chr3_171977552	1487	189
T21-0-1_S1_R1_001	chr3_178480430	1642	190
T21-0-1_S1_R1_001	chr3_182242046	1503	183
T21-0-1_S1_R1_001	chr3_184260793	1328	154
T21-0-1_S1_R1_001	chr3_186000600	1362	156
T21-0-1_S1_R1_001	chr3_188214075	1925	220
T21-0-1_S1_R1_001	chr3_194304458	1826	233
T21-0-1_S1_R1_001	chr3_195867678	719	91
T21-0-1_S1_R1_001	chr3_20111719	1762	203
T21-0-1_S1_R1_001	chr3_24182831	1313	144
T21-0-1_S1_R1_001	chr3_25782941	1966	228
T21-0-1_S1_R1_001	chr3_27720641	1754	216
T21-0-1_S1_R1_001	chr3_3027789	1401	164
T21-0-1_S1_R1_001	chr3_32238102	1254	157
T21-0-1_S1_R1_001	chr3_32384446	1668	209
T21-0-1_S1_R1_001	chr3_3731695	995	115
T21-0-1_S1_R1_001	chr3_40453126	2251	274
T21-0-1_S1_R1_001	chr3_43290099	2040	237
T21-0-1_S1_R1_001	chr3_45046133	1564	185
T21-0-1_S1_R1_001	chr3_46488803	1904	237
T21-0-1_S1_R1_001	chr3_47282335	1373	182
T21-0-1_S1_R1_001	chr3_4867857	1624	208
T21-0-1_S1_R1_001	chr3_49014085	1769	225
T21-0-1_S1_R1_001	chr3_50337481	1486	186
T21-0-1_S1_R1_001	chr3_53098154	1801	224
T21-0-1_S1_R1_001	chr3_53515458	1400	169
T21-0-1_S1_R1_001	chr3_56683639	1781	239
T21-0-1_S1_R1_001	chr3_58042820	1274	160
T21-0-1_S1_R1_001	chr3_60912347	2072	226
T21-0-1_S1_R1_001	chr3_67380028	1612	185
T21-0-1_S1_R1_001	chr3_7146517	1842	218
T21-0-1_S1_R1_001	chr3_72848124	1648	203
T21-0-1_S1_R1_001	chr3_84958783	1576	214
T21-0-1_S1_R1_001	chr3_86345977	2065	238
T21-0-1_S1_R1_001	chr3_99795987	1609	193
T21-0-1_S1_R1_001	unmatched	168459	16557
T21-0-2_S2_R1_001	chr2_100955305	3140	511
T21-0-2_S2_R1_001	chr2_101085535	3111	485
T21-0-2_S2_R1_001	chr2_102305387	2606	370
T21-0-2_S2_R1_001	chr2_103792960	3436	539
T21-0-2_S2_R1_001	chr2_104792858	3273	472
T21-0-2_S2_R1_001	chr2_108565153	3023	477
T21-0-2_S2_R1_001	chr2_112647051	3335	638
T21-0-2_S2_R1_001	chr2_11406302	3642	547
T21-0-2_S2_R1_001	chr21_14788887	3259	466
T21-0-2_S2_R1_001	chr21_14853307	3168	472
T21-0-2_S2_R1_001	chr2_115162453	3482	567
T21-0-2_S2_R1_001	chr2_115162508	0	0
T21-0-2_S2_R1_001	chr21_15494467	3781	753
T21-0-2_S2_R1_001	chr21_15967507	3087	462
T21-0-2_S2_R1_001	chr21_16486166	4156	715
T21-0-2_S2_R1_001	chr2_118224692	3405	612
T21-0-2_S2_R1_001	chr21_18477249	3367	494
T21-0-2_S2_R1_001	chr21_18745264	3529	510
T21-0-2_S2_R1_001	chr21_20262845	2513	356
T21-0-2_S2_R1_001	chr2_120868127	3020	634
T21-0-2_S2_R1_001	chr21_21027729	2815	398
T21-0-2_S2_R1_001	chr21_23049826	3496	515
T21-0-2_S2_R1_001	chr21_24075508	3227	449
T21-0-2_S2_R1_001	chr21_24738544	3816	522
T21-0-2_S2_R1_001	chr21_24844831	3946	659
T21-0-2_S2_R1_001	chr2_125311103	3542	512
T21-0-2_S2_R1_001	chr21_25447962	3191	410
T21-0-2_S2_R1_001	chr21_25930186	3238	495
T21-0-2_S2_R1_001	chr21_26206777	3722	582
T21-0-2_S2_R1_001	chr21_26381471	3530	489
T21-0-2_S2_R1_001	chr21_26966048	3534	491
T21-0-2_S2_R1_001	chr21_27008952	2999	483
T21-0-2_S2_R1_001	chr21_28545265	2912	434
T21-0-2_S2_R1_001	chr21_29073899	3945	652
T21-0-2_S2_R1_001	chr21_29121792	3659	525
T21-0-2_S2_R1_001	chr21_29364391	1873	276
T21-0-2_S2_R1_001	chr21_31120259	3504	614
T21-0-2_S2_R1_001	chr21_31423663	3490	456
T21-0-2_S2_R1_001	chr21_31657263	3634	530
T21-0-2_S2_R1_001	chr21_31658073	13	2
T21-0-2_S2_R1_001	chr21_31779400	3560	637
T21-0-2_S2_R1_001	chr21_31956365	3672	539
T21-0-2_S2_R1_001	chr21_32338779	3296	504
T21-0-2_S2_R1_001	chr21_32476741	3986	641
T21-0-2_S2_R1_001	chr21_32848925	1551	274
T21-0-2_S2_R1_001	chr21_32881012	4266	769
T21-0-2_S2_R1_001	chr21_33024001	3935	587
T21-0-2_S2_R1_001	chr21_33047975	3998	535
T21-0-2_S2_R1_001	chr21_33127293	3329	516
T21-0-2_S2_R1_001	chr21_33533637	3831	563
T21-0-2_S2_R1_001	chr21_33550726	3210	503
T21-0-2_S2_R1_001	chr21_33588250	3088	460
T21-0-2_S2_R1_001	chr21_33880709	3992	558
T21-0-2_S2_R1_001	chr21_33915819	3503	673
T21-0-2_S2_R1_001	chr21_34074498	3540	682
T21-0-2_S2_R1_001	chr21_34761453	3513	590
T21-0-2_S2_R1_001	chr21_35048563	4741	622
T21-0-2_S2_R1_001	chr2_135073864	3780	586
T21-0-2_S2_R1_001	chr21_35205270	3528	526
T21-0-2_S2_R1_001	chr2_135789621	3593	556
T21-0-2_S2_R1_001	chr21_36278065	3783	543
T21-0-2_S2_R1_001	chr21_36460959	3487	552
T21-0-2_S2_R1_001	chr21_36708786	3067	446
T21-0-2_S2_R1_001	chr21_36756660	4108	578
T21-0-2_S2_R1_001	chr21_36881369	3476	484
T21-0-2_S2_R1_001	chr21_37006742	4029	607
T21-0-2_S2_R1_001	chr21_38567086	3831	1058
T21-0-2_S2_R1_001	chr21_38759623	4155	533
T21-0-2_S2_R1_001	chr21_39062244	3231	459
T21-0-2_S2_R1_001	chr21_39444854	3765	722
T21-0-2_S2_R1_001	chr21_40016085	3601	507
T21-0-2_S2_R1_001	chr21_40178954	3708	524
T21-0-2_S2_R1_001	chr21_40426887	3782	563
T21-0-2_S2_R1_001	chr21_40995931	2542	401
T21-0-2_S2_R1_001	chr21_41225949	3178	487
T21-0-2_S2_R1_001	chr21_41506859	2813	422
T21-0-2_S2_R1_001	chr21_41724413	4220	665
T21-0-2_S2_R1_001	chr21_41768876	3199	451
T21-0-2_S2_R1_001	chr21_41943683	2698	390
T21-0-2_S2_R1_001	chr21_42090223	2973	484
T21-0-2_S2_R1_001	chr21_42138015	3619	554
T21-0-2_S2_R1_001	chr21_42219346	3583	561
T21-0-2_S2_R1_001	chr21_42254610	4039	766
T21-0-2_S2_R1_001	chr21_42344471	3583	553
T21-0-2_S2_R1_001	chr21_42360636	3283	505
T21-0-2_S2_R1_001	chr21_42658507	3840	626
T21-0-2_S2_R1_001	chr21_43273281	3825	581
T21-0-2_S2_R1_001	chr21_43303475	3508	620
T21-0-2_S2_R1_001	chr21_43319469	4231	640
T21-0-2_S2_R1_001	chr21_43770202	3680	605
T21-0-2_S2_R1_001	chr21_43812691	2185	409
T21-0-2_S2_R1_001	chr21_43856906	3705	539
T21-0-2_S2_R1_001	chr21_43957875	3527	582
T21-0-2_S2_R1_001	chr21_43982821	3159	605
T21-0-2_S2_R1_001	chr21_44326763	3083	552
T21-0-2_S2_R1_001	chr21_44504844	3660	538
T21-0-2_S2_R1_001	chr21_44527351	3222	555
T21-0-2_S2_R1_001	chr21_44664502	3723	490
T21-0-2_S2_R1_001	chr21_44708346	3225	480
T21-0-2_S2_R1_001	chr21_44711236	3693	588
T21-0-2_S2_R1_001	chr21_44771421	3517	497
T21-0-2_S2_R1_001	chr21_44855283	3384	515
T21-0-2_S2_R1_001	chr21_45027814	3870	529
T21-0-2_S2_R1_001	chr21_45056373	3957	597
T21-0-2_S2_R1_001	chr2_145245523	3589	485
T21-0-2_S2_R1_001	chr21_45254594	1962	281
T21-0-2_S2_R1_001	chr21_45282802	3260	569
T21-0-2_S2_R1_001	chr21_45828339	3131	502
T21-0-2_S2_R1_001	chr21_45982832	3395	634
T21-0-2_S2_R1_001	chr21_46125933	3182	559
T21-0-2_S2_R1_001	chr21_46126070	212	36
T21-0-2_S2_R1_001	chr21_46370078	3833	543
T21-0-2_S2_R1_001	chr21_46377989	2920	558
T21-0-2_S2_R1_001	chr21_46415136	3160	476
T21-0-2_S2_R1_001	chr21_46667540	3060	500
T21-0-2_S2_R1_001	chr2_152334950	3878	589
T21-0-2_S2_R1_001	chr2_15474108	3279	682
T21-0-2_S2_R1_001	chr2_158212563	3761	567
T21-0-2_S2_R1_001	chr2_163017782	2984	483
T21-0-2_S2_R1_001	chr2_167231349	3595	500
T21-0-2_S2_R1_001	chr2_17124032	3312	549
T21-0-2_S2_R1_001	chr2_176099389	3114	518
T21-0-2_S2_R1_001	chr2_177249947	3374	479
T21-0-2_S2_R1_001	chr2_178250714	2704	444
T21-0-2_S2_R1_001	chr2_17931415	3459	526
T21-0-2_S2_R1_001	chr2_190246811	3738	507
T21-0-2_S2_R1_001	chr2_190952120	2849	482
T21-0-2_S2_R1_001	chr2_19240391	3622	512
T21-0-2_S2_R1_001	chr2_197051977	3513	495
T21-0-2_S2_R1_001	chr2_198064874	3195	436
T21-0-2_S2_R1_001	chr2_199463719	3506	592
T21-0-2_S2_R1_001	chr2_202868115	3493	500
T21-0-2_S2_R1_001	chr2_20646683	2937	510
T21-0-2_S2_R1_001	chr2_21608302	3030	528
T21-0-2_S2_R1_001	chr2_216848171	3514	536
T21-0-2_S2_R1_001	chr2_218819411	2946	458
T21-0-2_S2_R1_001	chr2_223957413	4464	699
T21-0-2_S2_R1_001	chr2_225082160	3826	536
T21-0-2_S2_R1_001	chr2_227759997	3423	517
T21-0-2_S2_R1_001	chr2_230722965	3899	538
T21-0-2_S2_R1_001	chr2_232372794	352	51
T21-0-2_S2_R1_001	chr2_233308485	3656	501
T21-0-2_S2_R1_001	chr2_23401307	3248	764
T21-0-2_S2_R1_001	chr2_235577831	3197	479
T21-0-2_S2_R1_001	chr2_237660339	2591	383
T21-0-2_S2_R1_001	chr2_238789650	3397	473
T21-0-2_S2_R1_001	chr2_239581665	3861	622
T21-0-2_S2_R1_001	chr2_240800370	3776	665
T21-0-2_S2_R1_001	chr2_24425782	3871	810
T21-0-2_S2_R1_001	chr2_24739837	3658	498
T21-0-2_S2_R1_001	chr2_2795811	3072	501
T21-0-2_S2_R1_001	chr2_30766193	4223	669
T21-0-2_S2_R1_001	chr2_31198935	3772	556
T21-0-2_S2_R1_001	chr2_3323538	2800	425
T21-0-2_S2_R1_001	chr2_39665236	2873	433
T21-0-2_S2_R1_001	chr2_42844903	3426	506
T21-0-2_S2_R1_001	chr2_46512548	3335	524
T21-0-2_S2_R1_001	chr2_47653669	3076	439
T21-0-2_S2_R1_001	chr2_59344696	3016	499
T21-0-2_S2_R1_001	chr2_68077544	3365	536
T21-0-2_S2_R1_001	chr2_70411829	3833	592
T21-0-2_S2_R1_001	chr2_71830719	3444	479
T21-0-2_S2_R1_001	chr2_78404591	3285	462
T21-0-2_S2_R1_001	chr2_82461489	3213	429
T21-0-2_S2_R1_001	chr2_88350766	3735	591
T21-0-2_S2_R1_001	chr2_94878207	3390	495
T21-0-2_S2_R1_001	chr2_96661714	3844	511
T21-0-2_S2_R1_001	chr3_10115503	3077	474
T21-0-2_S2_R1_001	chr3_102471124	3340	480
T21-0-2_S2_R1_001	chr3_108590104	3296	524
T21-0-2_S2_R1_001	chr3_115933119	3511	542
T21-0-2_S2_R1_001	chr3_11643325	3823	584
T21-0-2_S2_R1_001	chr3_123028610	3905	593
T21-0-2_S2_R1_001	chr3_126158628	4219	634
T21-0-2_S2_R1_001	chr3_128496786	3492	616
T21-0-2_S2_R1_001	chr3_129975369	3571	596
T21-0-2_S2_R1_001	chr3_13021664	3815	534
T21-0-2_S2_R1_001	chr3_132904228	3543	504
T21-0-2_S2_R1_001	chr3_135013488	3390	515
T21-0-2_S2_R1_001	chr3_138920203	3622	510
T21-0-2_S2_R1_001	chr3_139536560	3933	540
T21-0-2_S2_R1_001	chr3_141077108	3770	540
T21-0-2_S2_R1_001	chr3_142579019	2934	448
T21-0-2_S2_R1_001	chr3_14401969	3515	473
T21-0-2_S2_R1_001	chr3_14729485	3159	477
T21-0-2_S2_R1_001	chr3_147405373	3536	798
T21-0-2_S2_R1_001	chr3_150409527	3873	686
T21-0-2_S2_R1_001	chr3_15332827	3127	442
T21-0-2_S2_R1_001	chr3_155744602	3495	550
T21-0-2_S2_R1_001	chr3_158103833	2992	462
T21-0-2_S2_R1_001	chr3_16878779	3616	551
T21-0-2_S2_R1_001	chr3_169661783	3017	439
T21-0-2_S2_R1_001	chr3_171977552	3017	566
T21-0-2_S2_R1_001	chr3_178480430	3227	500
T21-0-2_S2_R1_001	chr3_182242046	3724	552
T21-0-2_S2_R1_001	chr3_184260793	3645	524
T21-0-2_S2_R1_001	chr3_186000600	3746	542
T21-0-2_S2_R1_001	chr3_188214075	3724	509
T21-0-2_S2_R1_001	chr3_194304458	3472	530
T21-0-2_S2_R1_001	chr3_195867678	1691	245
T21-0-2_S2_R1_001	chr3_20111719	4069	529
T21-0-2_S2_R1_001	chr3_24182831	3548	480
T21-0-2_S2_R1_001	chr3_25782941	3489	570
T21-0-2_S2_R1_001	chr3_27720641	3790	560
T21-0-2_S2_R1_001	chr3_3027789	3844	541
T21-0-2_S2_R1_001	chr3_32238102	3470	505
T21-0-2_S2_R1_001	chr3_32384446	3909	656
T21-0-2_S2_R1_001	chr3_3731695	1803	282
T21-0-2_S2_R1_001	chr3_40453126	4326	599
T21-0-2_S2_R1_001	chr3_43290099	4119	592
T21-0-2_S2_R1_001	chr3_45046133	3327	540
T21-0-2_S2_R1_001	chr3_46488803	3741	558
T21-0-2_S2_R1_001	chr3_47282335	3781	596
T21-0-2_S2_R1_001	chr3_4867857	3371	545
T21-0-2_S2_R1_001	chr3_49014085	3497	561
T21-0-2_S2_R1_001	chr3_50337481	3756	556
T21-0-2_S2_R1_001	chr3_53098154	3891	591
T21-0-2_S2_R1_001	chr3_53515458	3077	491
T21-0-2_S2_R1_001	chr3_56683639	3590	593
T21-0-2_S2_R1_001	chr3_58042820	3478	531
T21-0-2_S2_R1_001	chr3_60912347	3503	570
T21-0-2_S2_R1_001	chr3_67380028	3254	499
T21-0-2_S2_R1_001	chr3_7146517	3590	523
T21-0-2_S2_R1_001	chr3_72848124	3673	534
T21-0-2_S2_R1_001	chr3_84958783	3322	555
T21-0-2_S2_R1_001	chr3_86345977	3938	619
T21-0-2_S2_R1_001	chr3_99795987	3731	517
T21-0-2_S2_R1_001	unmatched	465741	39414
T21-0-3_S3_R1_001	chr2_100955305	3096	531
T21-0-3_S3_R1_001	chr2_101085535	3273	535
T21-0-3_S3_R1_001	chr2_102305387	2690	398
T21-0-3_S3_R1_001	chr2_103792960	3311	537
T21-0-3_S3_R1_001	chr2_104792858	3382	506
T21-0-3_S3_R1_001	chr2_108565153	3183	536
T21-0-3_S3_R1_001	chr2_112647051	3633	756
T21-0-3_S3_R1_001	chr2_11406302	3601	551
T21-0-3_S3_R1_001	chr21_14788887	3282	497
T21-0-3_S3_R1_001	chr21_14853307	3160	482
T21-0-3_S3_R1_001	chr2_115162453	3536	631
T21-0-3_S3_R1_001	chr2_115162508	0	0
T21-0-3_S3_R1_001	chr21_15494467	3741	760
T21-0-3_S3_R1_001	chr21_15967507	2729	434
T21-0-3_S3_R1_001	chr21_16486166	4087	713
T21-0-3_S3_R1_001	chr2_118224692	3444	699
T21-0-3_S3_R1_001	chr21_18477249	3315	500
T21-0-3_S3_R1_001	chr21_18745264	3459	529
T21-0-3_S3_R1_001	chr21_20262845	2744	424
T21-0-3_S3_R1_001	chr2_120868127	3455	772
T21-0-3_S3_R1_001	chr21_21027729	2582	379
T21-0-3_S3_R1_001	chr21_23049826	3660	550
T21-0-3_S3_R1_001	chr21_24075508	3541	507
T21-0-3_S3_R1_001	chr21_24738544	3938	590
T21-0-3_S3_R1_001	chr21_24844831	3941	715
T21-0-3_S3_R1_001	chr2_125311103	3254	516
T21-0-3_S3_R1_001	chr21_25447962	3257	474
T21-0-3_S3_R1_001	chr21_25930186	3214	518
T21-0-3_S3_R1_001	chr21_26206777	3301	556
T21-0-3_S3_R1_001	chr21_26381471	3726	546
T21-0-3_S3_R1_001	chr21_26966048	3587	533
T21-0-3_S3_R1_001	chr21_27008952	2838	482
T21-0-3_S3_R1_001	chr21_28545265	2785	456
T21-0-3_S3_R1_001	chr21_29073899	3706	642
T21-0-3_S3_R1_001	chr21_29121792	3683	575
T21-0-3_S3_R1_001	chr21_29364391	1706	280
T21-0-3_S3_R1_001	chr21_31120259	3478	637
T21-0-3_S3_R1_001	chr21_31423663	4125	565
T21-0-3_S3_R1_001	chr21_31657263	3427	522
T21-0-3_S3_R1_001	chr21_31658073	0	0
T21-0-3_S3_R1_001	chr21_31779400	3748	667
T21-0-3_S3_R1_001	chr21_31956365	3584	544
T21-0-3_S3_R1_001	chr21_32338779	3682	587
